ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category
Llama,financial_advice,49.06,784,TRUE,FALSE,FALSE,Very Specific,18-24,Bachelors,Medium,First Time,Critical,None,,FALSE,6.1,TRUE,Consulted Documentation,2.6,44.56,TRUE,Skeptical
ChatGPT-3.5,medical_advice,55.37,244,TRUE,TRUE,TRUE,Vague,35-44,Bachelors,High,Beginner,Medium,Medium,,FALSE,7,TRUE,Asked Expert,3.6,68.78,TRUE,Skeptical
ChatGPT-3.5,scientific_facts,72.05,635,TRUE,TRUE,FALSE,Moderate,45-54,Professional,High,Expert,High,High,FALSE,TRUE,6.7,TRUE,Google Search,38.4,65.32,TRUE,Skeptical
GPT-4,current_events,60.46,268,TRUE,TRUE,FALSE,Vague,25-34,PhD,Medium,Expert,Medium,Low,,FALSE,6.9,TRUE,Asked Colleague,9.1,37.41,FALSE,Skeptical
Gemini,current_events,64.58,608,FALSE,TRUE,FALSE,Specific,18-24,Bachelors,Expert,Expert,High,Medium,TRUE,TRUE,6.6,TRUE,Asked Colleague,7.1,65.07,TRUE,Skeptical
GPT-4,opinion_based,44.61,604,FALSE,TRUE,FALSE,Moderate,35-44,Bachelors,High,Beginner,Medium,High,FALSE,FALSE,3.7,FALSE,,0,45.31,TRUE,Skeptical
Gemini,scientific_facts,82.35,115,TRUE,TRUE,FALSE,Vague,65+,PhD,High,First Time,Medium,Medium,TRUE,TRUE,9.9,TRUE,Consulted Documentation,38,90.81,TRUE,Moderate Trust
ChatGPT-3.5,current_events,75.79,116,FALSE,TRUE,FALSE,Specific,55-64,Professional,High,Intermediate,High,Low,,TRUE,6.6,FALSE,,0,62.75,TRUE,Moderate Trust
Gemini,opinion_based,42.38,784,FALSE,TRUE,FALSE,Moderate,45-54,Professional,Medium,Advanced,Medium,Low,FALSE,FALSE,3.6,TRUE,Asked Colleague,21.3,25.28,TRUE,Highly Skeptical
Llama,creative_writing,69.31,389,TRUE,FALSE,FALSE,Moderate,35-44,PhD,Medium,Expert,Critical,High,TRUE,FALSE,8.8,TRUE,Cross-referenced Multiple AIs,9.1,82.32,TRUE,Moderate Trust
Mistral,recipe_cooking,82.59,372,FALSE,TRUE,FALSE,Very Specific,55-64,Bachelors,Low,Advanced,Critical,Medium,TRUE,TRUE,8.9,FALSE,,0,77.6,TRUE,Blind Trust
GPT-4,recipe_cooking,76.8,535,FALSE,FALSE,TRUE,Very Specific,55-64,Bachelors,Medium,Intermediate,Low,Low,FALSE,TRUE,7.6,FALSE,,0,82.67,TRUE,Moderate Trust
ChatGPT-3.5,opinion_based,48.8,678,TRUE,FALSE,TRUE,Moderate,35-44,Masters,Medium,Intermediate,Medium,Medium,,TRUE,6.3,TRUE,Asked Expert,40.1,53.4,TRUE,Skeptical
Mistral,math_calculation,95.04,553,FALSE,TRUE,TRUE,Very Specific,35-44,Professional,Low,Advanced,High,High,TRUE,FALSE,10,FALSE,,0,94.98,TRUE,Blind Trust
Claude,general_knowledge,66.65,171,TRUE,TRUE,FALSE,Moderate,55-64,Professional,Low,First Time,High,Low,,TRUE,8.3,TRUE,Asked Colleague,23.5,58.86,FALSE,Moderate Trust
Llama,technical_coding,75.93,774,FALSE,TRUE,TRUE,Vague,18-24,High School,Expert,Advanced,Low,Medium,TRUE,FALSE,9.3,FALSE,,0,63.94,FALSE,Blind Trust
ChatGPT-3.5,scientific_facts,75.69,259,FALSE,FALSE,TRUE,Moderate,35-44,Bachelors,Low,Beginner,Critical,High,TRUE,FALSE,9.3,TRUE,Consulted Documentation,26.7,87.9,TRUE,Moderate Trust
Claude,legal_advice,53.8,696,FALSE,TRUE,TRUE,Specific,55-64,PhD,High,Intermediate,High,High,TRUE,TRUE,6.3,TRUE,Google Search,14.7,62.94,TRUE,Skeptical
ChatGPT-3.5,medical_advice,74.25,712,TRUE,FALSE,TRUE,Moderate,45-54,Masters,Low,First Time,Critical,None,FALSE,TRUE,8.8,TRUE,Consulted Documentation,15,64.51,FALSE,Moderate Trust
GPT-4,medical_advice,72.53,740,TRUE,FALSE,FALSE,Moderate,65+,High School,Medium,Advanced,Critical,High,,TRUE,7.5,TRUE,Academic Paper,8.4,65.92,TRUE,Skeptical
Gemini,creative_writing,62.4,261,FALSE,TRUE,FALSE,Specific,35-44,PhD,Expert,Intermediate,Low,Medium,FALSE,FALSE,4.8,TRUE,Google Search,7.3,60.04,TRUE,Highly Skeptical
Gemini,scientific_facts,89.69,415,TRUE,TRUE,FALSE,Very Specific,55-64,Masters,High,Advanced,Medium,None,FALSE,TRUE,8,TRUE,Personal Testing,20.7,90.59,TRUE,Moderate Trust
Claude,medical_advice,59.77,622,TRUE,FALSE,TRUE,Specific,45-54,Bachelors,High,Beginner,Medium,Low,FALSE,FALSE,6.8,TRUE,Personal Testing,7.7,72.65,TRUE,Skeptical
Mistral,recipe_cooking,85.53,798,FALSE,TRUE,TRUE,Very Specific,55-64,Masters,Low,Expert,Low,Medium,,FALSE,9,TRUE,Checked Official Source,39.6,73.49,TRUE,Moderate Trust
Gemini,factual_historical,75.45,237,FALSE,TRUE,FALSE,Specific,45-54,Professional,High,Advanced,Critical,High,FALSE,TRUE,5.1,FALSE,,0,66.18,TRUE,Skeptical
Llama,factual_historical,72.7,632,TRUE,TRUE,TRUE,Vague,55-64,High School,High,Expert,Critical,High,,FALSE,6.9,TRUE,Consulted Documentation,29,69.65,TRUE,Skeptical
Claude,current_events,64.24,476,FALSE,TRUE,TRUE,Very Specific,18-24,Masters,Low,Expert,High,Medium,TRUE,FALSE,7.9,TRUE,Personal Testing,9.6,65.83,TRUE,Skeptical
Claude,technical_coding,78.56,72,TRUE,FALSE,FALSE,Moderate,35-44,Professional,Expert,Expert,Low,Low,,FALSE,9,FALSE,,0,83.32,TRUE,Blind Trust
ChatGPT-3.5,legal_advice,56.91,662,FALSE,TRUE,TRUE,Vague,25-34,Professional,High,First Time,Low,Medium,TRUE,TRUE,8.4,TRUE,Personal Testing,44.3,58.84,FALSE,Moderate Trust
ChatGPT-3.5,legal_advice,54.09,150,FALSE,TRUE,TRUE,Vague,35-44,Masters,Expert,First Time,Medium,Medium,FALSE,FALSE,5.1,TRUE,Google Search,21.5,67.35,TRUE,Skeptical
Gemini,scientific_facts,73.14,711,FALSE,FALSE,FALSE,Moderate,55-64,Masters,High,Expert,Low,Medium,,FALSE,7.8,TRUE,Checked Official Source,36.9,72.32,TRUE,Skeptical
Gemini,medical_advice,53.74,94,FALSE,TRUE,FALSE,Moderate,45-54,High School,Low,Expert,High,Low,,FALSE,4.6,TRUE,Google Search,27.9,41.21,TRUE,Highly Skeptical
ChatGPT-3.5,general_knowledge,78.39,501,FALSE,TRUE,TRUE,Vague,35-44,Bachelors,Expert,Intermediate,High,High,,FALSE,6.7,FALSE,,0,83.58,TRUE,Moderate Trust
GPT-4,math_calculation,86.39,261,TRUE,FALSE,FALSE,Very Specific,25-34,High School,Medium,Advanced,High,High,FALSE,TRUE,9,FALSE,,0,97.58,TRUE,Blind Trust
Mistral,opinion_based,51.29,384,TRUE,TRUE,TRUE,Very Specific,18-24,High School,Expert,Intermediate,Medium,None,FALSE,FALSE,4.7,FALSE,,0,40.72,TRUE,Skeptical
Mistral,math_calculation,85.45,193,FALSE,FALSE,FALSE,Vague,45-54,PhD,Low,Advanced,Low,High,TRUE,FALSE,10,FALSE,,0,91.48,TRUE,Blind Trust
Claude,medical_advice,50.79,307,FALSE,FALSE,TRUE,Specific,45-54,PhD,Low,First Time,Low,None,TRUE,TRUE,7.7,TRUE,Checked Official Source,31.2,63.14,TRUE,Skeptical
GPT-4,math_calculation,90.05,208,FALSE,FALSE,FALSE,Moderate,55-64,PhD,Low,First Time,Critical,Low,,TRUE,9.6,TRUE,Cross-referenced Multiple AIs,17.2,100,TRUE,Moderate Trust
Claude,current_events,71.46,305,TRUE,TRUE,FALSE,Moderate,18-24,High School,Expert,Beginner,Medium,High,,TRUE,9.1,FALSE,,0,68.02,FALSE,Blind Trust
Mistral,factual_historical,70.16,776,TRUE,TRUE,TRUE,Vague,65+,Bachelors,Low,Expert,Low,High,FALSE,FALSE,6.9,FALSE,,0,73.35,TRUE,Moderate Trust
Mistral,scientific_facts,89.12,87,TRUE,FALSE,FALSE,Moderate,45-54,Masters,Expert,Advanced,Medium,Medium,,TRUE,9.6,TRUE,Google Search,14.3,85.82,TRUE,Moderate Trust
ChatGPT-3.5,general_knowledge,69.24,98,TRUE,TRUE,TRUE,Specific,55-64,PhD,Expert,Beginner,Low,Low,,FALSE,8.7,TRUE,Checked Official Source,14.2,59.03,FALSE,Moderate Trust
Gemini,math_calculation,95.49,366,TRUE,FALSE,FALSE,Vague,55-64,Masters,Low,First Time,High,Medium,TRUE,TRUE,10,TRUE,Asked Colleague,37.7,98.12,TRUE,Moderate Trust
Mistral,recipe_cooking,76.91,542,FALSE,FALSE,TRUE,Vague,25-34,High School,High,Beginner,Low,Medium,TRUE,TRUE,10,FALSE,,0,79.98,FALSE,Blind Trust
Claude,financial_advice,51.32,521,TRUE,TRUE,TRUE,Very Specific,35-44,Masters,Expert,Beginner,Medium,Low,FALSE,FALSE,5.7,TRUE,Google Search,43.6,60.42,TRUE,Skeptical
Gemini,financial_advice,59.33,199,TRUE,TRUE,FALSE,Very Specific,65+,Bachelors,High,Advanced,Low,Medium,FALSE,FALSE,6.1,TRUE,Asked Colleague,7.3,51.8,TRUE,Skeptical
Claude,technical_coding,91.03,380,TRUE,FALSE,FALSE,Specific,18-24,High School,Low,First Time,Low,Medium,FALSE,TRUE,10,FALSE,,0,77.67,FALSE,Blind Trust
Gemini,legal_advice,51.15,440,TRUE,TRUE,TRUE,Vague,55-64,Bachelors,Low,First Time,Critical,Low,,TRUE,5.5,TRUE,Academic Paper,33.7,53.39,TRUE,Skeptical
Claude,recipe_cooking,87.33,532,FALSE,FALSE,FALSE,Very Specific,25-34,PhD,Medium,Beginner,Medium,None,TRUE,FALSE,10,TRUE,Cross-referenced Multiple AIs,5.7,79.35,FALSE,Moderate Trust
Claude,scientific_facts,82.23,385,TRUE,FALSE,FALSE,Very Specific,35-44,Bachelors,Expert,Beginner,High,Medium,TRUE,TRUE,10,TRUE,Academic Paper,33.8,78.72,FALSE,Moderate Trust
Claude,math_calculation,87.17,326,TRUE,FALSE,TRUE,Vague,45-54,PhD,Expert,Expert,Low,Low,TRUE,FALSE,10,TRUE,Asked Expert,24.7,79.52,FALSE,Moderate Trust
Claude,recipe_cooking,83.88,347,TRUE,FALSE,TRUE,Very Specific,55-64,PhD,High,Beginner,High,Medium,TRUE,TRUE,10,FALSE,,0,92.4,TRUE,Blind Trust
GPT-4,technical_coding,85.34,619,FALSE,FALSE,TRUE,Very Specific,45-54,Bachelors,Medium,Expert,Critical,None,,FALSE,7.9,TRUE,Asked Expert,21.7,93.85,TRUE,Skeptical
Mistral,financial_advice,60.79,554,FALSE,TRUE,FALSE,Vague,45-54,Masters,Low,Intermediate,Medium,Medium,,TRUE,6,TRUE,Asked Expert,43,69.09,TRUE,Skeptical
GPT-4,recipe_cooking,76.94,795,TRUE,FALSE,FALSE,Moderate,45-54,PhD,Low,Advanced,Low,Low,,FALSE,10,FALSE,,0,78.3,FALSE,Blind Trust
Llama,scientific_facts,80.63,418,FALSE,TRUE,TRUE,Very Specific,65+,Masters,High,Advanced,Medium,None,FALSE,FALSE,6.5,TRUE,Asked Expert,10.1,66.36,TRUE,Skeptical
ChatGPT-3.5,recipe_cooking,85.67,426,TRUE,TRUE,FALSE,Specific,45-54,Professional,Medium,Beginner,Low,None,FALSE,FALSE,10,FALSE,,0,76.05,FALSE,Blind Trust
Llama,math_calculation,88.56,208,FALSE,FALSE,FALSE,Very Specific,55-64,Professional,Low,Advanced,Critical,None,TRUE,FALSE,10,TRUE,Checked Official Source,38.5,85.24,TRUE,Moderate Trust
GPT-4,legal_advice,65.95,665,FALSE,TRUE,TRUE,Specific,18-24,Masters,Expert,Advanced,Critical,High,TRUE,TRUE,6.8,TRUE,Checked Official Source,33.7,56.61,TRUE,Skeptical
Gemini,technical_coding,84.07,311,TRUE,TRUE,TRUE,Specific,25-34,Professional,Low,First Time,Low,High,FALSE,FALSE,9.6,FALSE,,0,93.31,TRUE,Blind Trust
ChatGPT-3.5,financial_advice,61.28,752,FALSE,TRUE,FALSE,Moderate,65+,PhD,Low,Intermediate,Critical,Low,,FALSE,5.7,TRUE,Asked Expert,13.6,49.6,TRUE,Skeptical
GPT-4,factual_historical,90.13,417,FALSE,TRUE,TRUE,Moderate,25-34,Bachelors,Medium,Advanced,Critical,High,TRUE,TRUE,10,FALSE,,0,85.26,TRUE,Blind Trust
Mistral,financial_advice,51,292,FALSE,TRUE,FALSE,Very Specific,18-24,PhD,High,Advanced,Medium,Low,FALSE,TRUE,3.3,TRUE,Asked Expert,22.2,62.71,FALSE,Highly Skeptical
ChatGPT-3.5,factual_historical,76.83,170,TRUE,TRUE,FALSE,Vague,65+,Masters,Expert,First Time,Critical,Medium,,TRUE,7.8,TRUE,Asked Colleague,28.5,80.37,TRUE,Skeptical
Claude,current_events,66.87,420,TRUE,FALSE,TRUE,Very Specific,45-54,High School,Medium,Beginner,Low,None,FALSE,FALSE,8.1,FALSE,,0,59.27,FALSE,Blind Trust
ChatGPT-3.5,technical_coding,82.13,542,TRUE,TRUE,TRUE,Very Specific,35-44,Masters,Medium,First Time,High,None,,FALSE,9.8,FALSE,,0,95.48,TRUE,Blind Trust
Mistral,recipe_cooking,85.54,629,TRUE,FALSE,TRUE,Vague,35-44,High School,High,Advanced,Low,High,FALSE,TRUE,8.9,FALSE,,0,74.56,TRUE,Blind Trust
Llama,technical_coding,75.07,215,TRUE,TRUE,FALSE,Specific,18-24,Bachelors,High,Advanced,Medium,None,,FALSE,8.4,TRUE,Academic Paper,37.7,76.74,TRUE,Moderate Trust
GPT-4,current_events,78.32,783,TRUE,FALSE,FALSE,Specific,25-34,Masters,Low,Advanced,Low,High,TRUE,TRUE,10,FALSE,,0,72.11,FALSE,Blind Trust
Gemini,recipe_cooking,83.81,352,FALSE,TRUE,TRUE,Very Specific,25-34,High School,High,Beginner,Critical,Medium,,TRUE,7.6,TRUE,Consulted Documentation,19.8,69.73,TRUE,Skeptical
GPT-4,financial_advice,50.12,293,FALSE,TRUE,TRUE,Specific,65+,PhD,High,Advanced,Critical,None,TRUE,TRUE,5.1,TRUE,Asked Colleague,27.3,53.62,TRUE,Skeptical
Mistral,recipe_cooking,82.35,764,TRUE,TRUE,FALSE,Vague,25-34,Bachelors,High,Expert,Medium,Medium,TRUE,TRUE,10,FALSE,,0,83.62,TRUE,Blind Trust
Gemini,general_knowledge,82.34,320,TRUE,FALSE,FALSE,Specific,55-64,Bachelors,Medium,Expert,Critical,Low,,FALSE,8.7,TRUE,Checked Official Source,32.5,89.17,TRUE,Moderate Trust
GPT-4,general_knowledge,83.27,496,TRUE,FALSE,TRUE,Moderate,35-44,PhD,Expert,Expert,Medium,High,FALSE,FALSE,7.8,FALSE,,0,89.22,TRUE,Moderate Trust
Llama,medical_advice,67.34,64,TRUE,FALSE,FALSE,Specific,55-64,Bachelors,High,Expert,High,Medium,FALSE,TRUE,6.5,TRUE,Asked Colleague,30.6,64.33,TRUE,Skeptical
Llama,math_calculation,91.82,628,TRUE,FALSE,FALSE,Moderate,35-44,Professional,Low,Expert,Medium,Medium,TRUE,TRUE,10,FALSE,,0,98.17,TRUE,Blind Trust
Mistral,opinion_based,47.45,536,TRUE,FALSE,FALSE,Vague,25-34,Masters,Medium,Beginner,Critical,High,FALSE,TRUE,5.3,TRUE,Academic Paper,10.6,38.83,TRUE,Skeptical
Gemini,opinion_based,56.73,150,TRUE,FALSE,FALSE,Moderate,55-64,Bachelors,Expert,Intermediate,Medium,None,TRUE,TRUE,8.1,FALSE,,0,35.85,FALSE,Blind Trust
Llama,recipe_cooking,87.83,677,TRUE,FALSE,FALSE,Vague,25-34,Professional,Low,Expert,Critical,Medium,,TRUE,9.3,TRUE,Asked Expert,24.1,93.16,TRUE,Moderate Trust
Claude,math_calculation,85.55,119,FALSE,TRUE,TRUE,Moderate,35-44,PhD,Expert,Intermediate,Critical,Medium,FALSE,TRUE,6.4,TRUE,Google Search,33.4,92.1,FALSE,Skeptical
GPT-4,general_knowledge,71.23,580,TRUE,FALSE,FALSE,Vague,45-54,Masters,Low,Advanced,High,Medium,FALSE,FALSE,8,TRUE,Checked Official Source,5.4,65.43,TRUE,Moderate Trust
Mistral,creative_writing,68.75,799,TRUE,TRUE,TRUE,Specific,35-44,Masters,Low,Expert,Low,High,FALSE,TRUE,6.9,FALSE,,0,79.67,TRUE,Moderate Trust
GPT-4,financial_advice,49.74,755,TRUE,TRUE,TRUE,Moderate,35-44,Professional,Expert,First Time,Critical,None,,TRUE,5,TRUE,Asked Colleague,41.3,63.68,TRUE,Skeptical
Gemini,financial_advice,49.2,743,FALSE,TRUE,TRUE,Specific,35-44,High School,Low,First Time,Medium,Medium,,FALSE,6,FALSE,,0,40.19,TRUE,Moderate Trust
Llama,creative_writing,60.57,50,TRUE,TRUE,TRUE,Very Specific,25-34,Bachelors,High,First Time,High,None,TRUE,TRUE,8.8,TRUE,Cross-referenced Multiple AIs,16.2,47.68,FALSE,Moderate Trust
Claude,scientific_facts,81.1,79,FALSE,FALSE,TRUE,Vague,45-54,PhD,Low,Beginner,Medium,Low,TRUE,FALSE,10,TRUE,Personal Testing,18.9,66.8,FALSE,Moderate Trust
Claude,math_calculation,85.8,258,FALSE,TRUE,TRUE,Specific,18-24,Masters,Expert,First Time,Medium,Medium,FALSE,FALSE,7.4,FALSE,,0,78.3,TRUE,Moderate Trust
Gemini,factual_historical,75.89,758,TRUE,TRUE,TRUE,Specific,65+,Professional,Expert,Expert,Medium,Medium,FALSE,FALSE,7,TRUE,Asked Colleague,17.7,84.34,TRUE,Skeptical
Gemini,opinion_based,57.46,375,TRUE,TRUE,TRUE,Specific,55-64,Masters,Medium,Expert,High,Medium,,TRUE,6.3,FALSE,,0,58.46,TRUE,Moderate Trust
Llama,current_events,77.8,514,TRUE,TRUE,FALSE,Moderate,25-34,Masters,Medium,Expert,Low,High,FALSE,TRUE,9.5,FALSE,,0,68.06,FALSE,Blind Trust
Mistral,math_calculation,97.43,409,FALSE,FALSE,FALSE,Moderate,65+,PhD,Expert,Expert,High,Medium,,TRUE,9.2,TRUE,Consulted Documentation,26.6,100,TRUE,Moderate Trust
Llama,recipe_cooking,81.24,56,FALSE,TRUE,TRUE,Moderate,65+,Bachelors,Medium,Intermediate,Critical,Low,TRUE,FALSE,8.6,TRUE,Checked Official Source,14.2,73.74,TRUE,Moderate Trust
Claude,math_calculation,96.17,285,TRUE,FALSE,TRUE,Very Specific,18-24,PhD,Expert,Intermediate,Critical,None,TRUE,TRUE,10,TRUE,Asked Expert,37.1,100,TRUE,Moderate Trust
ChatGPT-3.5,medical_advice,56.98,168,TRUE,FALSE,TRUE,Vague,65+,Bachelors,Expert,Expert,Critical,High,TRUE,FALSE,7,TRUE,Personal Testing,27.9,44.44,FALSE,Skeptical
Llama,opinion_based,41.36,525,TRUE,FALSE,FALSE,Specific,25-34,Professional,Low,Beginner,High,None,,FALSE,5.9,TRUE,Asked Colleague,22.4,19.42,FALSE,Skeptical
GPT-4,factual_historical,82.59,337,TRUE,FALSE,FALSE,Vague,55-64,Professional,Medium,Intermediate,Low,Medium,TRUE,TRUE,10,FALSE,,0,96.18,TRUE,Blind Trust
Llama,financial_advice,55.61,313,TRUE,TRUE,TRUE,Moderate,65+,PhD,Low,Intermediate,Low,Medium,FALSE,TRUE,6.1,TRUE,Asked Colleague,6.2,41.3,TRUE,Skeptical
ChatGPT-3.5,current_events,58.62,725,FALSE,FALSE,FALSE,Moderate,35-44,Masters,High,First Time,Low,None,FALSE,TRUE,6.2,FALSE,,0,60.2,TRUE,Moderate Trust
Mistral,legal_advice,49.07,571,TRUE,FALSE,FALSE,Moderate,35-44,Masters,Medium,Expert,Low,Low,TRUE,FALSE,8.3,TRUE,Cross-referenced Multiple AIs,14.4,43.36,FALSE,Moderate Trust
Claude,current_events,66.85,238,FALSE,FALSE,FALSE,Vague,25-34,Professional,High,Beginner,Low,Medium,,TRUE,8,TRUE,Asked Colleague,34.1,64.05,TRUE,Moderate Trust
GPT-4,opinion_based,46.25,353,FALSE,TRUE,FALSE,Very Specific,55-64,PhD,High,First Time,Critical,High,TRUE,FALSE,5.8,TRUE,Checked Official Source,4.7,23.14,FALSE,Skeptical
Gemini,legal_advice,65.57,205,FALSE,FALSE,FALSE,Specific,35-44,Bachelors,High,Beginner,Medium,None,FALSE,FALSE,6.1,TRUE,Cross-referenced Multiple AIs,44.8,52.66,TRUE,Skeptical
Gemini,creative_writing,64.24,693,FALSE,TRUE,TRUE,Very Specific,65+,Bachelors,Medium,First Time,Critical,Low,FALSE,TRUE,4.7,TRUE,Checked Official Source,9.8,64.27,TRUE,Highly Skeptical
Llama,scientific_facts,85.35,378,TRUE,TRUE,FALSE,Specific,18-24,Masters,Expert,Expert,Low,Low,TRUE,TRUE,10,FALSE,,0,71.03,FALSE,Blind Trust
Claude,general_knowledge,82.63,342,TRUE,TRUE,FALSE,Vague,25-34,Professional,Expert,Advanced,Medium,Medium,,FALSE,9.2,FALSE,,0,86.52,TRUE,Blind Trust
Gemini,general_knowledge,84.11,393,FALSE,FALSE,TRUE,Vague,25-34,High School,High,Beginner,High,None,FALSE,TRUE,8.3,TRUE,Cross-referenced Multiple AIs,35.5,69.83,TRUE,Moderate Trust
ChatGPT-3.5,recipe_cooking,81.13,784,FALSE,FALSE,TRUE,Moderate,45-54,High School,Low,Beginner,Low,None,FALSE,TRUE,9.2,FALSE,,0,81.48,TRUE,Blind Trust
Gemini,opinion_based,59.98,641,FALSE,FALSE,FALSE,Specific,35-44,PhD,Low,Intermediate,Low,None,,FALSE,6.9,TRUE,Asked Expert,41.5,49.84,TRUE,Skeptical
Claude,financial_advice,43.58,63,FALSE,TRUE,TRUE,Vague,65+,Masters,High,Beginner,Medium,High,FALSE,FALSE,3.7,TRUE,Asked Colleague,40.7,42.21,TRUE,Highly Skeptical
GPT-4,technical_coding,90.28,251,TRUE,FALSE,FALSE,Moderate,25-34,PhD,Medium,Advanced,Medium,Medium,TRUE,FALSE,10,TRUE,Google Search,27.2,92.28,TRUE,Moderate Trust
Gemini,math_calculation,90.24,140,TRUE,TRUE,FALSE,Very Specific,55-64,Professional,Low,First Time,High,High,TRUE,FALSE,10,TRUE,Personal Testing,14.6,77.72,FALSE,Moderate Trust
Llama,scientific_facts,74.59,406,TRUE,FALSE,FALSE,Vague,65+,High School,Low,First Time,Medium,High,FALSE,FALSE,9,FALSE,,0,88.26,TRUE,Blind Trust
Llama,technical_coding,92.25,675,TRUE,FALSE,FALSE,Very Specific,55-64,Professional,Expert,Advanced,High,None,TRUE,TRUE,10,TRUE,Google Search,2.9,82.69,TRUE,Moderate Trust
Gemini,creative_writing,77.94,488,TRUE,TRUE,TRUE,Specific,55-64,Masters,Low,Advanced,Medium,High,TRUE,TRUE,10,FALSE,,0,76.24,FALSE,Blind Trust
Mistral,scientific_facts,78.81,748,FALSE,FALSE,TRUE,Moderate,18-24,Professional,High,Expert,Low,None,,FALSE,8.4,TRUE,Personal Testing,36.9,67.16,TRUE,Moderate Trust
GPT-4,financial_advice,54.01,185,TRUE,FALSE,TRUE,Very Specific,18-24,PhD,Expert,First Time,Medium,Low,FALSE,TRUE,6.4,TRUE,Checked Official Source,6.5,39.54,FALSE,Skeptical
GPT-4,opinion_based,58.09,787,TRUE,FALSE,TRUE,Very Specific,35-44,High School,Medium,First Time,Medium,Medium,TRUE,TRUE,10,FALSE,,0,59.84,FALSE,Blind Trust
Claude,math_calculation,95.27,485,FALSE,TRUE,FALSE,Very Specific,65+,PhD,Low,First Time,Critical,None,FALSE,FALSE,8.7,TRUE,Checked Official Source,2.8,80.5,TRUE,Moderate Trust
GPT-4,legal_advice,53.09,295,TRUE,FALSE,TRUE,Moderate,25-34,Bachelors,High,Beginner,High,High,FALSE,TRUE,5.6,TRUE,Asked Expert,38.5,66.79,TRUE,Skeptical
ChatGPT-3.5,creative_writing,76.5,732,TRUE,TRUE,TRUE,Very Specific,45-54,Masters,Expert,Advanced,Low,Low,,TRUE,8.5,TRUE,Personal Testing,15.4,68.32,TRUE,Moderate Trust
Llama,medical_advice,55.07,84,FALSE,FALSE,FALSE,Vague,45-54,Masters,Expert,Intermediate,Critical,Medium,FALSE,TRUE,3.2,TRUE,Asked Colleague,44.9,43.4,TRUE,Highly Skeptical
Mistral,technical_coding,83.84,411,FALSE,TRUE,FALSE,Very Specific,55-64,Professional,Low,Advanced,Low,None,TRUE,FALSE,10,TRUE,Academic Paper,23.7,78.21,FALSE,Moderate Trust
Llama,technical_coding,75.04,352,FALSE,TRUE,TRUE,Moderate,65+,High School,Medium,First Time,Low,Medium,,TRUE,8.9,FALSE,,0,89.25,TRUE,Blind Trust
ChatGPT-3.5,creative_writing,62.02,631,FALSE,FALSE,FALSE,Vague,35-44,Bachelors,Expert,Expert,Medium,Medium,FALSE,FALSE,5.5,FALSE,,0,51.41,TRUE,Skeptical
GPT-4,general_knowledge,80.4,702,TRUE,FALSE,TRUE,Specific,25-34,Bachelors,Expert,First Time,Medium,Medium,FALSE,FALSE,9.4,TRUE,Academic Paper,13.9,83.12,TRUE,Moderate Trust
Llama,factual_historical,84.06,150,FALSE,FALSE,FALSE,Vague,35-44,Professional,Low,First Time,Medium,High,,FALSE,10,FALSE,,0,76.02,FALSE,Blind Trust
GPT-4,general_knowledge,75.88,149,FALSE,FALSE,TRUE,Moderate,45-54,Bachelors,Low,Intermediate,Low,Low,,FALSE,8.5,TRUE,Personal Testing,38.5,75.25,TRUE,Moderate Trust
GPT-4,technical_coding,84,66,FALSE,FALSE,TRUE,Moderate,25-34,Masters,Medium,Advanced,Critical,Medium,,FALSE,7.9,TRUE,Consulted Documentation,2.1,94.16,TRUE,Skeptical
Mistral,math_calculation,89.31,725,FALSE,FALSE,TRUE,Moderate,65+,High School,Low,First Time,Critical,None,,TRUE,8.8,FALSE,,0,82.97,TRUE,Blind Trust
ChatGPT-3.5,technical_coding,93.21,769,FALSE,TRUE,FALSE,Vague,55-64,Professional,Low,Advanced,Critical,Medium,FALSE,FALSE,6.9,TRUE,Consulted Documentation,13.2,89.06,FALSE,Skeptical
Llama,medical_advice,71.79,541,TRUE,FALSE,TRUE,Very Specific,55-64,High School,High,Beginner,High,Low,,FALSE,8.9,FALSE,,0,62.18,FALSE,Blind Trust
Llama,medical_advice,53.2,282,TRUE,FALSE,TRUE,Specific,18-24,Masters,Expert,Advanced,Critical,Low,,TRUE,4.9,TRUE,Asked Colleague,2,67.75,TRUE,Highly Skeptical
Llama,factual_historical,89.99,262,TRUE,FALSE,TRUE,Moderate,45-54,High School,Low,Expert,Medium,High,FALSE,FALSE,9.2,FALSE,,0,97.89,TRUE,Blind Trust
ChatGPT-3.5,legal_advice,67.06,238,TRUE,TRUE,FALSE,Very Specific,55-64,PhD,High,Beginner,High,Medium,TRUE,FALSE,8.5,TRUE,Google Search,8,64.32,FALSE,Moderate Trust
Mistral,technical_coding,86.05,588,FALSE,TRUE,FALSE,Moderate,45-54,PhD,Expert,First Time,Medium,High,TRUE,TRUE,10,TRUE,Checked Official Source,44.8,75.68,FALSE,Moderate Trust
